查询院校名称,页面院校名称,主管部门,院校省份,城市,985,211,双一流,类型,层次,性质,省份,批次,科类,专业组,选科要求,专业,最低分,最低位次,人数,批次线差,备注
北京印刷学院,北京印刷学院,北京市,北京,北京,,,,理工,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"数字出版-(实验班)-1, 大数据管理与应用-1",,,2.0,,
北京印刷学院,北京印刷学院,北京市,北京,北京,,,,理工,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"智能科学与技术-3, 印刷工程-(不招色盲、色弱考生)-3, 包装工程-(智能包装)(不招色盲、色弱考生)-3, 智能制造工程-3, 柔性电子学-2, 计算机科学与技术-2, 机械工程-(卓越工程师计划)-2, 信息安全-(数字版权保护)-2, 自动化-1",,,21.0,,
北京工业大学,北京工业大学,北京市,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,501,首选物理 再选化学,"建筑学-(五年)(不招色盲、色弱考生)-2, 数字媒体技术-2",,,4.0,,
北京工业大学,北京工业大学,北京市,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,502,首选物理 再选化学,"物联网工程-(中外合作办学)(外语成绩不低于：110。)-3, 软件工程-(中外合作办学)(外语成绩不低于：110。)-2",,,5.0,,
北京工业大学,北京工业大学,北京市,北京,北京,,,双一流,理工,本科,公办,江西,本科批,首选物理,561,首选物理 再选化学,土木类-(土木工程、给排水科学与工程、建筑环境与能源应用工程)(不招色盲考生)(国家专项)-4,,,4.0,,
北京协和医学院,北京协和医学院,国家卫生健康委员会,北京,北京,,,双一流,医药,本科,公办,江西,本科批,首选物理,501,首选物理 再选化学,护理学-2,,,2.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,"风景园林-7, 城乡规划-(五年)-2, 风景园林-(梁希实验班)-1",,,10.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,502,首选物理 再选不限,"金融学-2, 工商管理类-(会计学、工商管理、人力资源管理、物业管理)-2, 商务英语-1, 信息管理与信息系统-1, 农林经济管理-(梁希实验班)-1, 国际经济与贸易-1",,,8.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,503,首选物理 再选化学,"计算机类-(计算机科学与技术、数字媒体技术、数据科学与大数据技术)-7, 自动化-3, 机械设计制造及其自动化-3, 电气工程及其自动化-3, 统计学-3, 土木工程-2, 电子信息科学与技术-2, 车辆工程-2",,,25.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,504,首选物理 再选化学,"家具设计与工程-(卓越人才实验班)-2, 林业工程类-(林产化工、林产化工(生物质能源科学与工程方向)、木材科学与工程、木材科学与工程(木结构材料与工程方向))-2, 功能材料-2, 食品科学与工程-2, 生物科学类-(生物科学、生物技术)-2, 环境工程-2, 林业工程类-(梁希实验班)(林产化工、木材科学与工程)-1, 生物技术-(与园艺专业双学士学位项目)-1",,,14.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,505,首选物理 再选化学,"林学类-(林学、林学(城市林业方向)、森林保护、经济林)-4, 国家公园建设与管理-(梁希实验班)-2, 草坪科学与工程-2, 草业科学-(梁希实验班)-2, 水土保持与荒漠化防治-2, 野生动物与自然保护区管理-2, 林学类-(梁希实验班)(林学、森林保护)-1, 水土保持与荒漠化防治-(梁希实验班)-1",,,16.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,506,首选物理 再选生物,园林-2,,,2.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,507,首选物理 再选地理,"自然地理与资源环境-2, 地理信息科学-2",,,4.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,561,首选物理 再选不限,工商管理类-(会计学、工商管理、人力资源管理、物业管理)(国家专项)-2,,,2.0,,
北京林业大学,北京林业大学,教育部,北京,北京,,,双一流,农林,本科,公办,江西,本科批,首选物理,562,首选物理 再选化学,"林业工程类-(林产化工、林产化工(生物质能源科学与工程方向)、木材科学与工程、木材科学与工程(木结构材料与工程方向))(国家专项)-2, 车辆工程-(国家专项)-2, 林学类-(林学、林学(城市林业方向)、森林保护、经济林)(国家专项)-2, 功能材料-(国家专项)-1, 家具设计与工程-(卓越人才实验班)(国家专项)-1, 生物科学类-(生物科学、生物技术)(国家专项)-1, 水土保持与荒漠化防治-(国家专项)-1",,,10.0,,
中国人民大学,中国人民大学,教育部,北京,北京,,,双一流,综合,本科,公办,江西,本科批,首选物理,501,首选物理 再选不限,法学-(含涉外法治战略人才班；国际交流：含哈佛大学、鲁汶大学、新加坡国立大学等院际交换项目，“亚洲校园+”项目(中日韩三国政府奖学金支持)、中欧欧洲法国际组织后备人才培养项目(国家留基委资助)等。)-1,,,1.0,,
