序号,学校名称,主管部门,省份,城市,985,211,双一流,类型,层次,性质,状态
1,北京大学,教育部,北京,北京,985.0,211.0,双一流,综合,本科,公办,成功
2,中国人民大学,教育部,北京,北京,985.0,211.0,双一流,综合,本科,公办,成功
3,清华大学,教育部,北京,北京,985.0,211.0,双一流,综合,本科,公办,成功
4,北京交通大学,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
5,北京工业大学,北京市,北京,北京,,211.0,双一流,理工,本科,公办,成功
6,北京航空航天大学,工业和信息化部,北京,北京,985.0,211.0,双一流,理工,本科,公办,成功
7,北京理工大学,工业和信息化部,北京,北京,985.0,211.0,双一流,理工,本科,公办,成功
8,北京科技大学,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
9,北方工业大学,北京市,北京,北京,,,,理工,本科,公办,成功
10,北京化工大学,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
11,北京工商大学,北京市,北京,北京,,,,财经,本科,公办,成功
12,北京服装学院,北京市,北京,北京,,,,艺术,本科,公办,成功
13,北京邮电大学,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
14,北京印刷学院,北京市,北京,北京,,,,理工,本科,公办,成功
15,北京建筑大学,北京市,北京,北京,,,,理工,本科,公办,无效数据
16,北京石油化工学院,北京市,北京,北京,,,,0,本科,公办,成功
17,北京电子科技学院,中央办公厅,北京,北京,,,,理工,本科,公办,本省未招生
18,中国农业大学,教育部,北京,北京,985.0,211.0,双一流,农林,本科,公办,成功
19,北京农学院,北京市,北京,北京,,,,0,本科,公办,成功
20,北京林业大学,教育部,北京,北京,,211.0,双一流,农林,本科,公办,成功
21,北京协和医学院,国家卫生健康委员会,北京,北京,,,双一流,医药,本科,公办,成功
22,首都医科大学,北京市,北京,北京,,,,医药,本科,公办,成功
23,北京中医药大学,教育部,北京,北京,,211.0,双一流,医药,本科,公办,成功
24,北京师范大学,教育部,北京,北京,985.0,211.0,双一流,师范,本科,公办,成功
25,首都师范大学,北京市,北京,北京,,,双一流,师范,本科,公办,成功
26,首都体育学院,北京市,北京,北京,,,,体育,本科,公办,本省未招生
27,北京外国语大学,教育部,北京,北京,,211.0,双一流,语言,本科,公办,成功
28,北京第二外国语学院,北京市,北京,北京,,,,语言,本科,公办,成功
29,北京语言大学,教育部,北京,北京,,,,语言,本科,公办,成功
30,中国传媒大学,教育部,北京,北京,,211.0,双一流,综合,本科,公办,成功
31,中央财经大学,教育部,北京,北京,,211.0,双一流,财经,本科,公办,成功
32,对外经济贸易大学,教育部,北京,北京,,211.0,双一流,财经,本科,公办,成功
33,北京物资学院,北京市,北京,北京,,,,财经,本科,公办,成功
34,首都经济贸易大学,北京市,北京,北京,,,,财经,本科,公办,成功
35,中国消防救援学院,应急管理部,北京,北京,,,,0,本科,公办,本省未招生
36,外交学院,外交部,北京,北京,,,双一流,语言,本科,公办,无效数据
37,中国人民公安大学,公安部,北京,北京,,,双一流,政法,本科,公办,成功
38,国际关系学院,教育部,北京,北京,,,,政法,本科,公办,本省未招生
39,北京体育大学,国家体育总局,北京,北京,,211.0,双一流,体育,本科,公办,成功
40,中央音乐学院,教育部,北京,北京,,211.0,双一流,艺术,本科,公办,无效数据
41,中国音乐学院,北京市,北京,北京,,,双一流,艺术,本科,公办,本省未招生
42,中央美术学院,教育部,北京,北京,,,双一流,艺术,本科,公办,成功
43,中央戏剧学院,教育部,北京,北京,,,双一流,艺术,本科,公办,成功
44,中国戏曲学院,北京市,北京,北京,,,,艺术,本科,公办,成功
45,北京电影学院,北京市,北京,北京,,,,艺术,本科,公办,成功
46,北京舞蹈学院,北京市,北京,北京,,,,0,本科,公办,无效数据
47,中央民族大学,国家民委,北京,北京,985.0,211.0,双一流,民族,本科,公办,成功
48,中国政法大学,教育部,北京,北京,,211.0,双一流,政法,本科,公办,成功
49,华北电力大学,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
50,中华女子学院,中华妇女联合会,北京,北京,,,,0,本科,公办,成功
51,北京信息科技大学,北京市,北京,北京,,,,理工,本科,公办,成功
52,中国矿业大学（北京）,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
53,中国石油大学（北京）,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
54,中国地质大学（北京）,教育部,北京,北京,,211.0,双一流,理工,本科,公办,成功
55,北京联合大学,北京市,北京,北京,,,,综合,本科,公办,成功
56,中国青年政治学院,共青团中央,北京,北京,,,,0,本科,公办,本省未招生
57,首钢工学院,北京市,北京,北京,,,,0,本科,公办,无效数据
58,中国劳动关系学院,中华全国总工会,北京,北京,,,,0,本科,公办,成功
59,北京警察学院,北京市,北京,北京,,,,0,本科,公办,无效数据
60,中国科学院大学,中国科学院,北京,北京,,,双一流,理工,本科,公办,成功
61,中国社会科学院大学,中国社会科学院,北京,北京,,,,综合,本科,公办,成功
62,北京科技职业大学,北京市,北京,北京,,,,,本科,公办,成功
63,民政职业大学,民政部,北京,北京,,,,0,本科,公办,成功
64,南开大学,教育部,天津,天津,985.0,211.0,双一流,综合,本科,公办,成功
65,天津大学,教育部,天津,天津,985.0,211.0,双一流,理工,本科,公办,成功
66,天津科技大学,天津市,天津,天津,,,,理工,本科,公办,成功
67,天津工业大学,天津市,天津,天津,,,双一流,理工,本科,公办,成功
68,中国民航大学,交通运输部（中国民用航空局）,天津,天津,,,,理工,本科,公办,成功
69,天津理工大学,天津市,天津,天津,,,,理工,本科,公办,成功
70,天津农学院,天津市,天津,天津,,,,0,本科,公办,成功
71,天津医科大学,天津市,天津,天津,,211.0,双一流,医药,本科,公办,成功
72,天津中医药大学,天津市,天津,天津,,,双一流,医药,本科,公办,成功
73,天津师范大学,天津市,天津,天津,,,,师范,本科,公办,成功
74,天津职业技术师范大学,天津市,天津,天津,,,,0,本科,公办,成功
75,天津外国语大学,天津市,天津,天津,,,,语言,本科,公办,成功
76,天津商业大学,天津市,天津,天津,,,,0,本科,公办,成功
77,天津财经大学,天津市,天津,天津,,,,财经,本科,公办,成功
78,天津体育学院,天津市,天津,天津,,,,体育,本科,公办,成功
79,天津音乐学院,天津市,天津,天津,,,,0,本科,公办,无效数据
80,天津美术学院,天津市,天津,天津,,,,0,本科,公办,成功
81,天津城建大学,天津市,天津,天津,,,,0,本科,公办,成功
82,天津中德应用技术大学,天津市,天津,天津,,,,0,本科,公办,本省未招生
83,天津职业大学,,天津,天津,,,,,本科,公办,成功
84,天津警察学院,天津市,天津,天津,,,,,本科,公办,成功
85,河北大学,河北省,河北,保定,,,,综合,本科,公办,成功
86,河北工程大学,河北省,河北,邯郸,,,,理工,本科,公办,成功
87,河北地质大学,河北省,河北,石家庄,,,,0,本科,公办,成功
88,河北工业大学,河北省,天津,天津,,211.0,双一流,理工,本科,公办,成功
89,华北理工大学,河北省,河北,唐山,,,,综合,本科,公办,成功
90,河北科技大学,河北省,河北,石家庄,,,,理工,本科,公办,成功
91,河北建筑工程学院,河北省,河北,张家口,,,,0,本科,公办,成功
92,河北水利电力学院,河北省,河北,沧州,,,,0,本科,公办,成功
93,河北农业大学,河北省,河北,保定,,,,农林,本科,公办,本省未招生
94,河北医科大学,河北省,河北,石家庄,,,,医药,本科,公办,成功
95,河北北方学院,河北省,河北,张家口,,,,0,本科,公办,成功
96,承德医学院,河北省,河北,承德,,,,0,本科,公办,成功
97,河北师范大学,河北省,河北,石家庄,,,,师范,本科,公办,成功
98,保定学院,河北省,河北,保定,,,,0,本科,公办,本省未招生
99,河北民族师范学院,河北省,河北,承德,,,,0,本科,公办,本省未招生
100,唐山师范学院,河北省,河北,唐山,,,,0,本科,公办,本省未招生
101,廊坊师范学院,河北省,河北,廊坊,,,,0,本科,公办,成功
102,衡水学院,河北省,河北,衡水,,,,0,本科,公办,成功
103,石家庄学院,河北省,河北,石家庄,,,,0,本科,公办,本省未招生
104,邯郸学院,河北省,河北,邯郸,,,,0,本科,公办,成功
105,邢台学院,河北省,河北,邢台,,,,0,本科,公办,成功
106,沧州师范学院,河北省,河北,沧州,,,,0,本科,公办,本省未招生
107,石家庄铁道大学,河北省,河北,石家庄,,,,理工,本科,公办,成功
108,燕山大学,河北省,河北,秦皇岛,,,,理工,本科,公办,成功
109,河北科技师范学院,河北省,河北,秦皇岛,,,,0,本科,公办,成功
110,唐山学院,河北省,河北,唐山,,,,0,本科,公办,本省未招生
111,应急管理大学,,河北,廊坊,,,,,本科,公办,成功
112,中国人民警察大学,公安部,河北,廊坊,,,,政法,本科,公办,成功
113,河北体育学院,河北省,河北,石家庄,,,,0,本科,公办,本省未招生
114,河北金融学院,河北省,河北,保定,,,,0,本科,公办,成功
115,北华航天工业学院,河北省,河北,廊坊,,,,0,本科,公办,成功
116,河北经贸大学,河北省,河北,石家庄,,,,0,本科,公办,成功
117,中央司法警官学院,司法部,河北,保定,,,,0,本科,公办,无效数据
118,河北工业职业技术大学,河北省,河北,石家庄,,,,0,本科,公办,本省未招生
119,河北科技工程职业技术大学,河北省,河北,邢台,,,,0,本科,公办,成功
120,河北石油职业技术大学,河北省,河北,承德,,,,0,本科,公办,成功
121,河北中医药大学,河北省,河北,石家庄,,,,0,本科,公办,成功
122,张家口学院,河北省,河北,张家口,,,,0,本科,公办,本省未招生
123,河北环境工程学院,河北省,河北,秦皇岛,,,,0,本科,公办,成功
124,唐山工业职业技术大学,河北省,河北,唐山,,,,0,本科,公办,本省未招生
125,邢台医学院,河北省,河北,邢台,,,,0,本科,公办,成功
126,山西大学,山西省,山西,太原,,,双一流,综合,本科,公办,成功
127,太原科技大学,山西省,山西,太原,,,,理工,本科,公办,成功
128,中北大学,山西省,山西,太原,,,,理工,本科,公办,成功
129,太原理工大学,山西省,山西,太原,,211.0,双一流,理工,本科,公办,成功
130,山西农业大学,山西省,山西,晋中,,,,农林,本科,公办,成功
131,山西医科大学,山西省,山西,太原,,,,医药,本科,公办,成功
132,长治医学院,山西省,山西,长治,,,,0,本科,公办,本省未招生
133,山西师范大学,山西省,山西,太原,,,,师范,本科,公办,成功
134,太原师范学院,山西省,山西,太原,,,,0,本科,公办,成功
135,山西大同大学,山西省,山西,大同,,,,0,本科,公办,成功
136,晋中学院,山西省,山西,晋中,,,,0,本科,公办,本省未招生
