院校名称,代码,状态,错误信息,日期
,1,无效,ID不存在,2026-06-08
,2,无效,ID不存在,2026-06-08
,3,无效,ID不存在,2026-06-08
,4,无效,ID不存在,2026-06-08
,5,无效,ID不存在,2026-06-08
,6,无效,ID不存在,2026-06-08
,7,无效,ID不存在,2026-06-08
,8,无效,ID不存在,2026-06-08
,9,无效,ID不存在,2026-06-08
,10,无效,ID不存在,2026-06-08
,11,无效,ID不存在,2026-06-08
,12,无效,ID不存在,2026-06-08
,13,无效,ID不存在,2026-06-08
,14,无效,ID不存在,2026-06-08
,15,无效,ID不存在,2026-06-08
,16,无效,ID不存在,2026-06-08
,17,无效,ID不存在,2026-06-08
,18,无效,ID不存在,2026-06-08
,19,无效,ID不存在,2026-06-08
,20,无效,ID不存在,2026-06-08
,21,无效,ID不存在,2026-06-08
,22,无效,ID不存在,2026-06-08
,23,无效,ID不存在,2026-06-08
,24,无效,ID不存在,2026-06-08
,25,无效,ID不存在,2026-06-08
,26,无效,ID不存在,2026-06-08
,27,无效,ID不存在,2026-06-08
,28,无效,ID不存在,2026-06-08
,29,无效,ID不存在,2026-06-08
北京工业大学,30,成功,,2026-06-08
北京大学,31,成功,,2026-06-08
内蒙古大学,32,成功,,2026-06-08
大连海事大学,33,成功,,2026-06-08
哈尔滨工业大学,34,成功,,2026-06-08
云南大学,35,成功,,2026-06-08
长安大学,36,成功,,2026-06-08
西北大学,37,成功,,2026-06-08
北京交通大学,38,成功,,2026-06-08
北京外国语大学,39,成功,,2026-06-08
中央音乐学院,40,成功,,2026-06-08
河北工业大学,41,成功,,2026-06-08
武汉大学,42,成功,,2026-06-08
北京林业大学,43,成功,,2026-06-08
湖南大学,44,成功,,2026-06-08
中央民族大学,45,成功,,2026-06-08
中国人民大学,46,成功,,2026-06-08
北京航空航天大学,47,成功,,2026-06-08
北京邮电大学,48,成功,,2026-06-08
北京中医药大学,49,成功,,2026-06-08
辽宁大学,50,成功,,2026-06-08
西南交通大学,51,成功,,2026-06-08
北京师范大学,52,成功,,2026-06-08
对外经济贸易大学,53,成功,,2026-06-08
河北大学,54,成功,,2026-06-08
河北科技大学,55,成功,,2026-06-08
河北经贸大学,56,成功,,2026-06-08
西安电子科技大学,57,成功,,2026-06-08
湖南师范大学,58,成功,,2026-06-08
南开大学,59,成功,,2026-06-08
天津大学,60,成功,,2026-06-08
中国海洋大学,61,成功,,2026-06-08
郑州大学,62,成功,,2026-06-08
合肥工业大学,63,成功,,2026-06-08
山东医药大学,64,成功,,2026-06-08
德州学院,65,成功,,2026-06-08
中国科学技术大学,66,成功,,2026-06-08
安徽大学,67,成功,,2026-06-08
安徽理工大学,68,成功,,2026-06-08
安徽工业大学,69,成功,,2026-06-08
安徽农业大学,70,成功,,2026-06-08
济南大学,71,成功,,2026-06-08
安徽医科大学,72,成功,,2026-06-08
同济大学,73,成功,,2026-06-08
新疆大学,74,成功,,2026-06-08
上海交通大学医学院,75,成功,,2026-06-08
上海大学,76,成功,,2026-06-08
南京航空航天大学,77,成功,,2026-06-08
天津医科大学,78,成功,,2026-06-08
天津师范大学,79,成功,,2026-06-08
天津工业大学,80,成功,,2026-06-08
天津理工大学,81,成功,,2026-06-08
天津科技大学,82,成功,,2026-06-08
,83,无效,ID不存在,2026-06-08
天津财经大学,84,成功,,2026-06-08
天津商业大学,85,成功,,2026-06-08
江南大学,86,成功,,2026-06-08
天津外国语大学,87,成功,,2026-06-08
中国民航大学,88,成功,,2026-06-08
天津中医药大学,89,成功,,2026-06-08
天津职业技术师范大学,90,成功,,2026-06-08
天津城建大学,91,成功,,2026-06-08
天津体育学院,92,成功,,2026-06-08
天津农学院,93,成功,,2026-06-08
天津音乐学院,94,成功,,2026-06-08
天津美术学院,95,成功,,2026-06-08
广西大学,96,成功,,2026-06-08
兰州大学,97,成功,,2026-06-08
华南师范大学,98,成功,,2026-06-08
四川大学,99,成功,,2026-06-08
四川农业大学,100,成功,,2026-06-08
西南财经大学,101,成功,,2026-06-08
厦门大学,102,成功,,2026-06-08
福州大学,103,成功,,2026-06-08
中山大学,104,成功,,2026-06-08
华南理工大学,105,成功,,2026-06-08
暨南大学,106,成功,,2026-06-08
西北工业大学,107,成功,,2026-06-08
南昌大学,108,成功,,2026-06-08
东南大学,109,成功,,2026-06-08
中国矿业大学,110,成功,,2026-06-08
南京大学,111,成功,,2026-06-08
南京理工大学,112,成功,,2026-06-08
南京农业大学,113,成功,,2026-06-08
浙江大学,114,成功,,2026-06-08
南京师范大学,115,成功,,2026-06-08
河海大学,116,成功,,2026-06-08
中国药科大学,117,成功,,2026-06-08
苏州大学,118,成功,,2026-06-08
重庆大学,119,成功,,2026-06-08
中国石油大学（华东）,120,成功,,2026-06-08
中国地质大学（武汉）,121,成功,,2026-06-08
吉林大学,122,成功,,2026-06-08
中南大学,123,成功,,2026-06-08
哈尔滨工程大学,124,成功,,2026-06-08
上海交通大学,125,成功,,2026-06-08
山东大学,126,成功,,2026-06-08
华中科技大学,127,成功,,2026-06-08
武汉理工大学,128,成功,,2026-06-08
延边大学,129,成功,,2026-06-08
上海财经大学,130,成功,,2026-06-08
华东师范大学,131,成功,,2026-06-08
复旦大学,132,成功,,2026-06-08
华东理工大学,133,成功,,2026-06-08
东北大学,134,成功,,2026-06-08
东华大学,135,成功,,2026-06-08
上海外国语大学,136,成功,,2026-06-08
东北农业大学,137,成功,,2026-06-08
大连理工大学,138,成功,,2026-06-08
太原理工大学,139,成功,,2026-06-08
清华大学,140,成功,,2026-06-08
,141,无效,ID不存在,2026-06-08
东北师范大学,142,成功,,2026-06-08
北京理工大学,143,成功,,2026-06-08
北京科技大学,144,成功,,2026-06-08
,145,无效,ID不存在,2026-06-08
南京工程学院,146,成功,,2026-06-08
南京晓庄学院,147,成功,,2026-06-08
常州工学院,148,成功,,2026-06-08
南京艺术学院,149,成功,,2026-06-08
江苏理工学院,150,成功,,2026-06-08
南京审计大学,151,成功,,2026-06-08
淮安大学,152,成功,,2026-06-08
盐城师范学院,153,成功,,2026-06-08
盐城工学院,154,成功,,2026-06-08
,155,无效,ID不存在,2026-06-08
常州大学,156,成功,,2026-06-08
华东交通大学,157,成功,,2026-06-08
徐州医科大学,158,成功,,2026-06-08
杭州电子科技大学,159,成功,,2026-06-08
南京邮电大学,160,成功,,2026-06-08
江苏科技大学,161,成功,,2026-06-08
南京中医药大学,162,成功,,2026-06-08
苏州科技大学,163,成功,,2026-06-08
南京财经大学,164,成功,,2026-06-08
江西理工大学,165,成功,,2026-06-08
南京信息工程大学,166,成功,,2026-06-08
江苏师范大学,167,成功,,2026-06-08
南京医科大学,168,成功,,2026-06-08
南京林业大学,169,成功,,2026-06-08
江苏大学,170,成功,,2026-06-08
南京工业大学,171,成功,,2026-06-08
江西农业大学,172,成功,,2026-06-08
扬州大学,173,成功,,2026-06-08
江西师范大学,174,成功,,2026-06-08
江西财经大学,175,成功,,2026-06-08
东华理工大学,176,成功,,2026-06-08
南昌航空大学,177,成功,,2026-06-08
重庆医科大学,178,成功,,2026-06-08
重庆师范大学,179,成功,,2026-06-08
西南政法大学,180,成功,,2026-06-08
,181,无效,ID不存在,2026-06-08
南京体育学院,182,成功,,2026-06-08
景德镇陶瓷大学,183,成功,,2026-06-08
重庆邮电大学,184,成功,,2026-06-08
江西中医药大学,185,成功,,2026-06-08
上饶师范学院,186,成功,,2026-06-08
重庆理工大学,187,成功,,2026-06-08
辽东学院,188,成功,,2026-06-08
赣南师范大学,189,成功,,2026-06-08
江西科技师范大学,190,成功,,2026-06-08
长江师范学院,191,成功,,2026-06-08
宜春学院,192,成功,,2026-06-08
四川外国语大学,193,成功,,2026-06-08
九江学院,194,成功,,2026-06-08
赣南医科大学,195,成功,,2026-06-08
四川美术学院,196,成功,,2026-06-08
井冈山大学,197,成功,,2026-06-08
重庆三峡科技大学,198,成功,,2026-06-08
石河子大学,199,成功,,2026-06-08
鲁迅美术学院,200,成功,,2026-06-08
中国刑事警察学院,201,成功,,2026-06-08
沈阳医学院,202,成功,,2026-06-08
沈阳体育学院,203,成功,,2026-06-08
鞍山师范学院,204,成功,,2026-06-08
